#,outages_id,report_id,outage_type,outage_lat,outage_lng,outage_source,outage_date,outage_company,active
1,134,126,power,18.45994295,-66.76542554053148,User test2@gmail.com,2023-05-06,LUMA,true
2,135,127,water,18.45994295,-66.76542554053148,User test2@gmail.com,2023-05-06,AAA,true
3,136,128,internet,18.14014185,-67.12758142703916,User test2@gmail.com,2023-05-06,Liberty,true
4,137,129,internet,18.14014185,-67.12758142703916,User test2@gmail.com,2023-05-06,Liberty,true
5,138,130,internet,18.14014185,-67.12758142703916,User test2@gmail.com,2023-05-06,Liberty,true
6,139,131,internet,18.14014185,-67.12758142703916,User test2@gmail.com,2023-05-06,Liberty,true
7,140,132,internet,18.14014185,-67.12758142703916,User test2@gmail.com,2023-05-06,Liberty,true
8,141,133,water,18.45633,-66.54128,User test2@gmail.com,2023-05-06,AAA,true
9,142,134,internet,18.14014185,-67.12758142703916,User test2@gmail.com,2023-05-06,Liberty,true
10,143,135,internet,18.14014185,-67.12758142703916,User test2@gmail.com,2023-05-06,Liberty,true
11,144,136,internet,18.14014185,-67.12758142703916,User test2@gmail.com,2023-05-06,Liberty,true
12,145,137,internet,18.14014185,-67.12758142703916,User test2@gmail.com,2023-05-06,Liberty,true
13,146,138,internet,18.14014185,-67.12758142703916,User test2@gmail.com,2023-05-06,Liberty,true
14,116,106,water,18.47245,-66.71573,User test2@gmail.com,2023-04-27,AAA,false
15,117,107,water,18.47245,-66.71573,User test2@gmail.com,2023-04-27,AAA,false
16,118,108,water,18.47245,-66.71573,User test2@gmail.com,2023-04-27,AAA,false
17,119,109,water,18.47245,-66.71573,User test2@gmail.com,2023-04-27,AAA,false
18,120,110,water,18.47245,-66.71573,User test2@gmail.com,2023-04-27,AAA,false
19,121,111,internet,18.4355,-66.13711,User test2@gmail.com,2023-04-27,Liberty,false
20,122,112,internet,18.4355,-66.13711,User test2@gmail.com,2023-04-27,Liberty,false
21,174,172,internet,18.3405895,-66.3172368,API Twitter,2023-04-30,Claro,true
22,128,118,water,18.40773,-66.79323,User test2@gmail.com,2023-04-27,AAA,false
23,13,2,water,18.2011161,-67.1391124,API Twitter,2023-03-30,AAA,false
24,14,3,power,18.4701713,-66.7181606,API Luma,2023-03-30,LUMA,false
25,15,4,power,18.3990551,-66.1560326,API Luma,2023-03-30,LUMA,false
26,16,5,power,18.2345399,-66.0351316,API Luma,2023-03-30,LUMA,false
27,17,6,power,18.2011161,-67.1391124,API Luma,2023-03-30,LUMA,false
28,18,7,power,18.465299,-66.116666,API Luma,2023-03-30,LUMA,false
29,20,9,water,18.0807012,-66.3565542,Media Facebook,2023-03-30,AAA,false
30,21,10,water,18.07885,-67.121741,Media Facebook,2023-03-30,AAA,false
31,22,11,water,18.0807012,-66.3565542,Media Facebook,2023-03-30,AAA,false
32,23,12,water,18.0807012,-66.3565542,Media Facebook,2023-03-30,AAA,false
33,24,14,water,18.074019,-66.324905,Media Facebook,2023-03-30,AAA,false
34,25,15,water,18.074019,-66.324905,Media Facebook,2023-03-30,AAA,false
35,26,16,internet,18.2011161,-67.1391124,User test2@gmail.com,2023-03-30,Liberty,false
36,27,17,internet,18.4701713,-66.7181606,User test2@gmail.com,2023-03-30,Liberty,false
37,28,18,water,18.4701713,-66.7181606,User test2@gmail.com,2023-03-30,AAA,false
